NAME,B01001_001,B01001_002,B02001_001,B02001_003,B19001_001,B19001_002,B19001_003,B19001_004,B19001_005,B19001_006,B19001_007,B19001_008,B29001_001,B29001_005
"Hazlehurst city, Georgia",4164,2009,4164,974,1427,150,220,73,158,112,159,84,2818,658
"Helen city, Georgia",390,195,390,3,205,11,31,8,7,8,18,6,341,130
"Henderson CDP, Georgia",1853,794,1853,256,857,0,19,28,16,0,190,45,1476,289
"Hephzibah city, Georgia",3973,1948,3973,1217,1523,100,157,82,145,87,23,85,3080,631
"Heron Bay CDP, Georgia",3195,1449,3195,1761,1056,0,0,0,0,0,0,19,2165,288
"Hiawassee city, Georgia",753,285,753,22,407,20,25,26,65,20,27,37,724,457
"Higgston town, Georgia",474,244,474,133,140,31,13,4,5,17,7,11,243,71
"Hilltop CDP, Georgia",200,70,200,200,96,9,60,0,0,0,0,19,168,81
"Hiltonia town, Georgia",438,216,438,329,143,32,7,18,10,13,1,9,347,46
"Hinesville city, Georgia",33258,16067,33258,15546,13103,1008,519,754,707,748,867,673,22863,2308
"Hiram city, Georgia",3897,1799,3897,1475,1410,9,40,36,43,93,40,17,3028,482
"Hoboken city, Georgia",762,440,762,200,224,19,25,9,11,7,18,10,474,80
"Hogansville city, Georgia",3085,1324,3085,1485,1058,183,152,89,84,43,77,28,2257,522
"Holly Springs city, Georgia",11469,5448,11469,914,4041,63,79,70,77,157,119,155,7772,1011
"Homeland city, Georgia",939,476,939,6,248,25,23,31,19,14,19,10,713,178
"Homer town, Georgia",1269,599,1269,110,455,22,53,46,22,33,4,8,980,198
"Homerville city, Georgia",2442,1193,2442,1242,978,327,99,90,52,25,25,53,1671,484
"Hoschton city, Georgia",1567,870,1567,68,565,15,25,8,29,59,42,20,1143,308
"Howard CDP, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hull city, Georgia",189,101,189,21,80,8,16,6,8,4,4,3,127,38
"Ideal city, Georgia",364,167,364,279,132,33,10,12,10,0,3,17,325,114
"Ila city, Georgia",405,211,405,0,148,8,16,3,14,3,8,6,306,54
"Indian Springs CDP, Georgia",2650,1202,2650,0,906,63,32,60,55,49,18,19,1912,403
"Iron City town, Georgia",254,118,254,8,123,19,9,3,4,7,12,5,222,79
"Irondale CDP, Georgia",8578,3434,8578,4431,2256,102,101,130,135,115,159,194,5537,665
"Irwinton city, Georgia",567,294,567,340,173,4,15,12,20,6,16,8,394,87
"Isle of Hope CDP, Georgia",2539,1180,2539,19,1020,25,18,17,49,25,28,17,1937,441
"Ivey city, Georgia",939,460,939,101,319,31,23,25,16,12,35,22,666,138
"Jackson city, Georgia",4999,2364,4999,2470,1754,178,103,90,214,34,120,155,3635,731
"Jacksonville city, Georgia",80,39,80,25,52,1,21,0,2,5,9,8,75,29
"Jakin city, Georgia",197,86,197,66,97,3,22,21,1,4,4,7,155,49
"Jasper city, Georgia",3796,1906,3796,234,1562,138,147,111,144,73,102,84,2680,714
"Jefferson city, Georgia",10693,5174,10693,1054,3839,150,205,220,253,123,213,103,7261,1475
"Jeffersonville city, Georgia",1127,520,1127,590,370,98,43,23,18,14,36,4,910,284
"Jenkinsburg city, Georgia",312,152,312,55,113,1,7,2,5,9,7,5,224,47
"Jersey city, Georgia",78,38,78,0,43,4,9,0,5,2,2,1,69,29
"Jesup city, Georgia",9814,5267,9814,4404,3022,470,492,130,159,151,35,275,7093,1528
"Johns Creek city, Georgia",83637,40875,83637,9468,27945,719,308,495,542,701,606,593,50335,7337
"Jonesboro city, Georgia",4737,2682,4737,3003,1210,172,123,80,54,102,72,57,3809,323
